artista,total_musicas,popularidade_media
Şam,6,40.8
Caju Pra Baixo,16,40.8
Twenty One Pilots,8,40.8
Osho Jain,10,40.8
Anupam Roy,30,40.8
Kevi Jonny,18,40.8
When Chai Met Toast,23,40.8
Aurelina Dourado,6,40.8
Apparat,6,40.8
Los Caligaris,50,40.8
Darlene Zschech,6,40.7
Laura Story,7,40.7
Ajda Pekkan,6,40.7
Allame,7,40.7
Laura Sullivan,15,40.7
Aria,6,40.7
Kiko Chicabana,7,40.7
Nightmares On Wax,12,40.7
Gisele Nascimento,6,40.7
Sambô,10,40.6
Soweto,14,40.6
Katinguelê,7,40.6
Sandy,7,40.6
Clara Mae,12,40.6
Palavrantiga,7,40.6
Yedinci Ev,6,40.5
CHVRCHES,17,40.5
Sezen Aksu,7,40.4
Fidel Rueda,9,40.4
Grupo Raça,8,40.4
Nightwish,32,40.4
F.O.O.L,11,40.4
Gabriela Rocha,20,40.4
Eli Soares,8,40.4
Cassiane,17,40.4
2 Blyga Läppar,7,40.3
Reinaldo,6,40.3
Foreigner,7,40.3
Bell Marques,8,40.3
Joris Delacroix,6,40.3
Massive Attack,33,40.3
Jacky Cheung,23,40.3
Oficina G3,21,40.3
The Growlers,18,40.2
Edson Lima e Gatinha Manhosa,9,40.2
Limão Com Mel,17,40.2
Passion;Chris Tomlin,12,40.1
Jon Kennedy,12,40.1
Keane,19,40.1
Encontro de Batuqueiros,7,40.1
Rise Against,10,40.1
Mudvayne,14,40.1
Faber,11,40.1
Henry Freitas,8,40.1
Strike,8,40.1
Nani Azevedo,9,40.1
Alcest,13,40.1
Magnus Uggla,9,40.0
"Sergio Vega ""El Shaka""",9,40.0
Quatro por Um,6,40.0
Spandau Ballet,16,40.0
Astrix,8,39.9
Gal Costa,7,39.9
Chicão dos Teclados,11,39.9
Death,13,39.9
Gesaffelstein,18,39.9
Thalles Roberto,7,39.9
Marcos Antônio,7,39.9
Akira Kosemura,7,39.9
Virus,9,39.9
Ati242,9,39.8
Emilíana Torrini,6,39.8
The Go-Go's,8,39.8
Sertab Erener,9,39.8
Desejo De Menina,16,39.8
Nusrat Fateh Ali Khan,38,39.8
PXNDX,32,39.8
Rick Astley,9,39.8
The Chainsmokers,24,39.8
Tianastacia,6,39.8
RDN;Suel;Ferrugem,24,39.7
31 Minutos,15,39.7
FOVOS,7,39.7
Los Estramboticos,15,39.7
Fiersa Besari,10,39.6
Smyang Piano;tamagopalette,8,39.6
Gilberto Gil,11,39.6
Periphery,12,39.6
Kay Tse,12,39.6
Skay Beilinson,8,39.6
Guus Dielissen,10,39.6
Rota,6,39.5
Can Bonomo,8,39.5
Gramatik,11,39.5
Belinda Carlisle,6,39.5
Havoc Brothers,12,39.5
George Benson,8,39.5
Şebnem Ferah,9,39.4
Silent Knights,25,39.4
Imagine Dragons,31,39.4
Québec Redneck Bluegrass Project,9,39.4
Fossils,10,39.4
Pendulum,25,39.4
Chico Science;Nação Zumbi,7,39.4
Charlie Brown Jr.,106,39.4
Eurythmics;Annie Lennox;Dave Stewart,16,39.3
GUFI,6,39.3
New Order,12,39.3
Müzeyyen Senar,11,39.3
Pee Wee Gaskins,8,39.3
CA7RIEL,6,39.3
Testament,7,39.3
Frejat,7,39.3
Eddy Tyler,9,39.3
Zeca Pagodinho,50,39.2
Matanza,25,39.2
Sumo,16,39.2
Tronic,8,39.1
Smyang Piano,47,39.1
Yui Horie,7,39.1
Stephan Bodzin,8,39.1
David Guetta,7,39.1
The Minds Of 99,13,39.0
Teuterekordz,8,39.0
The Changcuters,11,39.0
Soda Stereo,31,39.0
Kevin Kern,9,38.9
Maria Bethânia,24,38.9
J Neto,10,38.9
Frei.Wild,10,38.9
Chancho En Piedra,21,38.9
AMARIA BB,9,38.9
Banda Eva,6,38.8
Maria Rita,9,38.8
Schyzo,9,38.8
Glee Cast,139,38.8
Ultraje a Rigor,17,38.8
NX Zero,13,38.8
Recondite,6,38.7
Mugen Rao,6,38.7
Paulo Cesar Baruk,6,38.7
Papon,23,38.7
Solee,6,38.7
Planet Hemp,10,38.7
Hayko Cepkin,9,38.6
ERA,7,38.6
Ivete Sangalo,10,38.6
Pedropiedra,7,38.6
Biquini Cavadão,29,38.6
Sagopa Kajmer,16,38.5
Eddie Meduza,13,38.5
El Bordo,6,38.5
Diogo Nogueira,31,38.5
Da Tweekaz,6,38.5
Forró Boys,6,38.5
Danieze Santiago,6,38.5
Fats Domino,6,38.5
Maldita Vecindad Y Los Hijos Del 5to. Patio,8,38.4
Akatu;Grupo Revelação,11,38.4
Grupo Fundo De Quintal,19,38.4
Divya Kumar,10,38.4
Bedtime Baby,8,38.3
Pink Noise,11,38.3
Souljah,7,38.3
Silverstein,7,38.3
Days Of The New,7,38.3
Miranda!,42,38.3
Akon,6,38.3
Hozho,20,38.2
Hombres G,6,38.2
RDN;Vitinho;Caju Pra Baixo,6,38.2
Steely Dan,12,38.2
Pitty,28,38.2
Tři Sestry,7,38.1
Rybičky 48,8,38.1
Xande De Pilares,14,38.1
İlhan İrem,7,38.1
Charly Black,8,38.1
Slank,27,38.1
Gyllene Tider,6,38.0
PIÑA PINK,10,38.0
Maskatesta,7,38.0
Julie Andrews,6,38.0
サザンオールスターズ,39,38.0
Cold,10,38.0
Cannibal Corpse,10,38.0
Allison,10,37.9
Yanni,43,37.9
Karunesh,14,37.9
PornoGraffitti,10,37.9
Blondie,37,37.8
Lyn Lapid,10,37.8
Ellie Goulding,19,37.8
Daniel Deluxe,16,37.8
Yusei,13,37.8
Barão Vermelho,8,37.8
Caju Pra Baixo;Belo,10,37.7
NERO,12,37.7
Lebo M.,6,37.7
Dustycloud,7,37.7
Joseph Sullinger,10,37.7
Björn Rosenström,9,37.6
櫻坂46,10,37.6
Sub Focus,7,37.6
In Element,8,37.6
Mrs. GREEN APPLE,17,37.6
Salon Victoria,10,37.5
Raimundos,19,37.5
Las Pastillas del Abuelo,10,37.5
Guachupé,8,37.4
Attaque 77,20,37.4
Samba De Raiz,12,37.4
Tom Jones,7,37.4
Lulu Santos,17,37.4
Granular,35,37.3
Inspector,12,37.3
La Oreja de Van Gogh,12,37.3
Die Toten Hosen,25,37.3
Alemão Do Forró,6,37.3
Macaroni Empitsu,13,37.3
Melissa Horn,13,37.2
Nonpalidece,12,37.2
Sekta Core,9,37.2
Bernward Koch,10,37.2
Usted Señalemelo,9,37.2
Sarah Jarosz,11,37.2
Los Fabulosos Cadillacs,37,37.2
ABBA,71,37.1
Sublime,7,37.1
2 minutos,8,37.1
Chico Buarque,10,37.1
Yeni Türkü,8,37.1
death's dynamic shroud,6,37.0
Projota,8,37.0
Tears For Fears,22,36.9
Vance Joy,19,36.9
Nando Reis,15,36.9
Onze:20,8,36.9
UNISON SQUARE GARDEN,7,36.9
Tmsoft’s White Noise Sleep Sounds,6,36.8
Bo Kaspers Orkester,12,36.8
TUBE,6,36.8
Kabir Cafe,6,36.8
Maceo Plex,8,36.8
Los Auténticos Decadentes,16,36.8
The All-American Rejects,7,36.7
Yumi Matsutoya,7,36.7
EXILE,10,36.7
Henry Jackman,14,36.7
Seal,10,36.7
Jane's Addiction,6,36.7
Babasónicos,37,36.7
Intoxicados,8,36.6
Chuy Lizarraga y Su Banda Tierra Sinaloense,7,36.6
Belchior,11,36.6
Mathan;Naven,7,36.6
Moonica Mac,6,36.5
µ-Ziq,6,36.5
Denise Ho,12,36.5
La Mississippi,8,36.5
Memphis La Blusera,6,36.5
QUEEN BEE,13,36.5
David Holmes,6,36.3
Instrumental Worship Project from I’m In Records,13,36.3
Emile Pandolfi,8,36.3
Sachin Warrier,15,36.3
Zeki Müren,16,36.3
LooLoo Kids,24,36.3
Andrew Foy;Renee Foy,15,36.3
Ultravox,6,36.2
Baby Sweet Dream,6,36.2
Duran Duran,23,36.1
Outside Broadcast Recordings,9,36.1
Lars Winnerbäck,21,36.1
Böhse Onkelz,12,36.1
Lasse Stefanz,36,36.1
Resistencia Suburbana,6,36.0
Mr.Children,44,36.0
WEDNESDAY CAMPANELLA,9,36.0
The Dead Milkmen,6,36.0
Lujipeka,6,36.0
Armin van Buuren,37,36.0
Steve Miller Band,13,36.0
Rain Sounds,43,35.9
Los Cafres,18,35.9
Mark Dekoda,9,35.9
Charly García,37,35.9
Tomas Andersson Wij,6,35.8
Los Pericos,19,35.8
OneRepublic,124,35.8
Koil,6,35.8
Feine Sahne Fischfilet,8,35.8
CPM 22,27,35.8
Breakfast For Brunch,13,35.7
Teresa Teng,7,35.7
Accept,29,35.7
Solomun,15,35.7
The Kiboomers,47,35.7
Michael W. Smith,28,35.7
Deep Sleep Hair Dryers;Hair Dryers for Background Noise;Hair Dryer Collection,7,35.6
Meeresrauschen,24,35.6
My Hair is Bad,21,35.6
HammerFall,14,35.6
Reznik,9,35.6
Delta Heavy,8,35.6
ZABO,10,35.6
Tim Maia,25,35.6
The Interrupters,6,35.5
Cliff Richard & The Shadows,8,35.5
Das Lumpenpack,8,35.5
Parthiv Gohil,6,35.5
Kid Abelha,22,35.5
Type O Negative,13,35.5
Porsche Love,10,35.4
M. S. Subbulakshmi,7,35.4
Cri-Cri,40,35.4
Goom Gum,6,35.3
Wildways,6,35.3
Hugo TSR,6,35.3
For Revenge,21,35.3
DJ Shadow,13,35.3
Lifafa,9,35.3
Shania Twain,12,35.3
Mandragora,22,35.3
Bernard Adamus,8,35.3
Mipso,6,35.3
Deafheaven,10,35.3
Adrian Barba,6,35.3
Nationalteatern,6,35.2
Tipe-X,25,35.2
Fit For A King,6,35.2
Architects,31,35.2
Vald,10,35.2
Arno,6,35.2
Tucka,9,35.2
Wibke Komi,7,35.1
Play School,16,35.1
Etta James,8,35.1
Manoella Torres,8,35.0
KOBUKURO,6,35.0
GLAY,8,35.0
Surf Curse,20,35.0
BBS Paranoicos,9,35.0
Coheed and Cambria,7,35.0
Amy Liz,10,35.0
Hacken Lee,7,35.0
Wilmer X,11,34.9
Adolescent's Orquesta,19,34.9
Fiskales Ad-Hok,7,34.9
Los Miserables,8,34.9
Kool & The Gang,13,34.9
The Magnetic Fields,14,34.9
Overseer,10,34.9
Mike Laure,25,34.8
Culture Club,13,34.8
M. S. Subbulakshmi;Radha Viswanathan,6,34.8
The Wiggles,50,34.8
Natalia Jiménez,18,34.7
Manolo Muñoz,6,34.7
The Stranglers,7,34.7
Dusty Kid,6,34.7
Havoc Mathan;Havoc Naven,23,34.7
Broilers,19,34.7
Morcheeba,32,34.7
Sirkazhi Govindarajan,15,34.7
Shinedown,40,34.7
Noel Toms,16,34.6
Gowry Lekshmi,16,34.6
The Kinks,9,34.6
Luis Alberto Spinetta,11,34.6
Los Apson,23,34.5
Florida Georgia Line,6,34.5
grandson,6,34.5
BARBEE BOYS,7,34.4
Tricky,6,34.3
White Noise Therapy,7,34.3
Los Rude Boys,9,34.3
André Rieu;Johann Strauss Orchestra,15,34.3
Paul Kalkbrenner,23,34.3
Sajeer Koppam,22,34.3
Polo & Pan,9,34.3
Official HIGE DANdism,30,34.3
Creep Hyp,28,34.3
Criolo;Emicida,10,34.3
Los Freddy's,23,34.2
Guided By Voices,6,34.2
So La Lune,6,34.2
Benny,11,34.1
Ocean Waves For Sleep,16,34.1
blink-182,32,34.1
go!go!vanillas,9,34.1
Lady A,8,34.1
Sir Charles Jones,7,34.1
Brandi Carlile,9,34.1
Mylène Farmer,6,34.0
Los Brios,9,34.0
Sajanka,15,33.9
The Amity Affliction,13,33.9
GReeeeN,14,33.9
Michael Bublé,22,33.9
Seringai,14,33.9
Renaud,8,33.9
Akcent,14,33.9
Eve 6,6,33.8
Stupeflip,10,33.8
Leslie Cheung,15,33.8
Titãs,27,33.8
Live,12,33.8
Hov1,11,33.7
Los Chicanos,6,33.7
La Tropa Loca,7,33.7
Los Pasteles Verdes,23,33.7
Lacuna Coil,12,33.7
Röyksopp,22,33.6
Avslappning Sound,20,33.6
Estela Nuñez,16,33.6
Z.TAO,15,33.6
D’MASIV,13,33.6
Marilyn Manson,47,33.6
Kim Walker-Smith,6,33.5
Booka Shade,10,33.5
Corinne Bailey Rae,6,33.5
The Prodigy,59,33.4
Orchestral Manoeuvres In The Dark,11,33.3
Wasted Glitter,7,33.3
Frankie Avalon,6,33.3
Los Crazy Boys,6,33.3
Yabai T-Shirts Yasan,8,33.3
WANIMA,6,33.3
Cheap Trick,17,33.3
Alec Benjamin,37,33.3
Clean Bandit;French The Kid;Rema,6,33.3
Simply Red,8,33.3
Baby Sleep Music;Baby Lullaby;Monarch Baby Lullaby Institute,13,33.2
The Weeknd,14,33.2
Darren Styles,9,33.2
Ben Mazué,12,33.2
my little airport,171,33.2
Grateful Dead,18,33.1
Headhunterz,13,33.1
Gabrielle Aplin,20,33.1
Lara Fabian,9,33.0
Dead Fish,22,33.0
Skid Row,6,33.0
Divididos,21,33.0
Me First and the Gimme Gimmes,9,32.9
Eterna Inocencia,14,32.9
Hans Zimmer;Adam Lukas;James Everingham;AURORA,20,32.9
Georgio,7,32.9
Keyblade,8,32.9
Criolo,56,32.9
Palito Ortega,6,32.8
Shogo Hamada,15,32.8
Millencolin,12,32.8
Billie Holiday,6,32.8
Weezer,52,32.8
Os Mutantes,7,32.7
Celldweller,19,32.7
Strung Out,6,32.7
Ghost,30,32.7
Steppenwolf,6,32.7
Los Tukas,14,32.6
Nelson Ned,11,32.6
Nada Surf,7,32.6
Shamanes Crew,14,32.6
Infraction,12,32.6
Agepê,6,32.5
Daniel Pemberton,6,32.5
Flört,13,32.5
Jason Mraz,41,32.5
Jorge Muñiz,16,32.4
Archive,7,32.4
Barrington Levy,7,32.4
Maelo Ruiz,38,32.3
Espécimen,6,32.3
Lamb,6,32.2
Groove Armada,13,32.2
Los Baby's,27,32.2
Angelica Maria,15,32.2
XTC,11,32.2
Andrew Tan,6,32.2
Job Kurian,14,32.2
Jefte Santos,6,32.2
Blackburri,14,32.1
Yiyo Sarante,8,32.1
Los Solitarios,21,32.1
Sweet Little Band,32,32.1
Pinkfong,39,32.1
Sepultura,16,32.1
Alberto Vazquez,21,32.0
Elvis Costello,11,32.0
Niranj Suresh,8,32.0
Marc Anthony,28,32.0
Les Fatals Picards,8,32.0
Cidade Verde Sounds,13,32.0
Rob Cantor,7,31.9
Mwuana,7,31.9
La Sonora Matancera,11,31.8
Mr Black El Presidente,9,31.8
Cesar Costa,6,31.8
Marco Antonio Muñiz,16,31.8
Hooverphonic,20,31.8
Paolo Nutini,15,31.8
AJJ,8,31.8
Miguel Bosé,14,31.7
ZAPEROKO La Resistencia Salsera del Callao,7,31.7
Roberto Jordan,7,31.7
Enrique Guzman,32,31.7
KISS,13,31.7
Bayside,12,31.7
Goretrade,10,31.7
Tiësto,16,31.7
Shawn Mendes,18,31.7
Ice Nine Kills,23,31.7
Gene Vincent & His Blue Caps,7,31.6
Hermanos Carrion,8,31.6
Cem Karaca,31,31.6
Pense,9,31.6
-M-,7,31.6
Melanie Martinez,17,31.6
Ángeles Del Infierno,11,31.5
Guayacán Orquesta,13,31.5
BOØWY,51,31.5
Sly Withers,13,31.5
Cristian,15,31.4
Grupo Yndio,8,31.4
Rosana,7,31.3
NJ,16,31.3
D-Block & S-te-Fan,16,31.3
Caillou,10,31.3
Masaharu Fukuyama,26,31.3
Galy Galiano,14,31.2
Alquimia La Sonora Del XXI,6,31.2
Barış Manço,29,31.2
Black Sabbath,10,31.2
Alan Menken,32,31.2
John Williamson,6,31.2
Kelly Chen,6,31.2
The Steeldrivers,22,31.2
Magneto,9,31.1
Rey Ruiz,7,31.1
Guaco,16,31.1
S3RL,18,31.1
Deny,6,31.0
Mägo de Oz,38,31.0
Kamuran Akkor,8,31.0
Project46,6,31.0
Novo Som;Catedral,8,31.0
Kinderen voor Kinderen,28,31.0
Noisia,9,31.0
Ishome,8,31.0
Jerry Rivera,18,30.9
Los Hermanos Carrion,10,30.9
Árbol,11,30.9
Thakara,9,30.9
Chicago,7,30.9
Teoman,26,30.8
The Herbaliser,6,30.8
Lauren Spencer Smith,10,30.8
Bullet Bane,6,30.8
Eddie van der Meer,6,30.8
Brock Ansiolitiko,14,30.7
Sonia Rivas,10,30.7
Paveier,10,30.7
Håkan Hellström,141,30.7
Prabh Deep,14,30.7
Baciary,6,30.7
Trazendo a Arca,50,30.7
The Presidents Of The United States Of America,11,30.7
El Michels Affair,10,30.7
Beddy Rays,14,30.6
Bhimsen Joshi,10,30.6
Josimar y Su Yambú,11,30.5
Glass Animals,23,30.5
Henrik Janson,24,30.5
Catupecu Machu,13,30.5
Los Teen Tops,22,30.4
Zoe Wees,7,30.4
Riley Green,10,30.4
Kemuel,49,30.4
Joe Vasconcellos,10,30.4
Bryan & Katie Torwalt,12,30.3
Above & Beyond,12,30.3
Los Fredy´s,7,30.3
Celtic Woman,21,30.3
Hanumankind,6,30.3
Gloria,6,30.3
Rolf Zuckowski,41,30.3
Vanilla Beach,6,30.2
ThirumaLi,12,30.2
Juanafé,13,30.2
Fäaschtbänkler,31,30.1
K. S. Harisankar,21,30.1
Kyary Pamyu Pamyu,18,30.1
Lucky Daye,7,30.1
Deluxe,12,30.1
La Quinta Estacion,10,30.0
≠ME,17,30.0
Snoop Dogg;Wiz Khalifa;Bruno Mars,6,30.0
Avatar,7,30.0
Everclear,6,30.0
Cyclo,25,29.9
Gilberto Santa Rosa,31,29.9
Najim Arshad,19,29.9
Seiko Oomori,10,29.9
Killing Joke,10,29.9
Dear Seattle,13,29.9
Gost,9,29.9
Get Dead,9,29.9
=LOVE,33,29.8
Hermetica,46,29.8
Sync 3;Ericka Nascimento,9,29.8
Lynyrd Skynyrd,12,29.8
Royal Blood,20,29.8
Eikichi Yazawa,69,29.7
Rolf Zuckowski;Sasha;Oonagh,6,29.7
Disturbed,12,29.7
The Bridge City Sinners,9,29.7
Kyoko Koizumi,14,29.6
Miso Colt,9,29.6
Víctor Manuelle,25,29.6
Grupo Galé,8,29.6
Tiger Army,7,29.6
ChuChu TV,33,29.6
Daniel Chan,7,29.6
Halestorm,10,29.6
The Killers,11,29.6
Takehara Pistol,7,29.6
Joe Arroyo,15,29.5
David Bisbal,12,29.5
Maneli Jamal,10,29.5
Duman,8,29.5
Alex Ubago,12,29.4
25th Annual Putnam County Spelling Bee Original Cast,14,29.4
Mickey Taveras,10,29.4
Willie Gonzalez,13,29.4
Dream Evil,7,29.4
Cradle Of Filth,20,29.4
Rival Consoles,36,29.4
Calle 13,22,29.4
BaianaSystem,35,29.4
Nostalgique,8,29.3
Obie Hans,11,29.3
Luis Eduardo Aute,6,29.3
Los 4,6,29.3
The Palace Singers,6,29.3
Powerman 5000,11,29.3
The Red Pears,8,29.3
Ikke Hüftgold,7,29.3
Burna Boy,57,29.3
Patty Shukla,21,29.3
The Chemical Brothers,72,29.3
Crate Diggers,12,29.2
Oscar Hollis,11,29.2
Jéssica Augusto,11,29.2
DEVO,11,29.1
Die Flippers,17,29.1
X JAPAN,7,29.1
Upon A Burning Body,18,29.1
Skillibeng,9,29.1
The Devil Makes Three,17,29.1
really big mountains,6,29.0
Dusty Decks,35,29.0
Joi Casette,6,29.0
Tito Rojas,16,29.0
Selda Bağcan,7,29.0
Fantasy,11,29.0
Porfi Baloa,8,28.9
The Replacements,9,28.9
Manjari,13,28.9
Eulogy,7,28.9
Days N Daze,20,28.9
Willie Colón,6,28.8
NG Rezonance;PHD,7,28.7
FiNCH,6,28.7
Evil Activities,10,28.7
Our Lady Peace,9,28.7
Epica,15,28.7
Duke Dumont,7,28.7
Noisecream,9,28.7
NG Rezonance,31,28.6
Grinspoon,13,28.6
Thaikkudam Bridge,8,28.6
Callejon,7,28.6
Dimension,8,28.6
Wax Tailor,8,28.5
Simple Minds,15,28.5
Lazy Leopard,11,28.5
Salserin,6,28.5
Wasted Penguinz,6,28.5
Purples,21,28.5
The Monkees,13,28.5
Busy Signal,18,28.5
Maranatha! Kids,6,28.5
Twinkle Twinkle Little Rock Star,13,28.5
Connie Francis,10,28.4
Troglauer,10,28.4
The Crystal Method,15,28.4
B.B. King,8,28.4
Hanare Gumi,11,28.4
Glitzer Gischi,6,28.3
Deuter,22,28.3
Zanger Kafke,7,28.3
Protest The Hero,6,28.3
Metrik,7,28.3
Level 42,11,28.3
The Wailin' Jennys,12,28.3
Trampled by Turtles,39,28.3
FKA twigs,35,28.2
John Lindberg Trio,15,28.1
Zélia Duncan,7,28.1
WAAX,14,28.1
The Smith Street Band,26,28.1
Showtek,10,28.0
Novo Som,23,28.0
Luca Brasi,6,28.0
Andy Tallent,6,28.0
Sally Yeh,6,28.0
Suy Galvez,8,28.0
Grupo Niche,20,27.9
Debbie Doo,8,27.9
Black Uhuru,7,27.9
DEADLIFE,8,27.9
Old Crow Medicine Show,22,27.9
Los Prisioneros,42,27.9
Porta,19,27.8
DJ Robin;Schürze,8,27.8
U.D.O.,10,27.8
Jonas Lundqvist,17,27.8
Horace Andy,15,27.8
Frank Turner,22,27.8
Pepe Jara,7,27.7
Mercyful Fate,9,27.7
vibe academy,7,27.6
Swingin' Utters,12,27.6
Pist Idiots,7,27.6
Evil Darkness,7,27.6
Anne-Marie,14,27.6
Pickin' On Series;Iron Horse,11,27.6
Fountains Of Wayne,9,27.6
Kester,24,27.5
Los Tecolines,32,27.5
Prong,8,27.5
Steel Pulse,12,27.5
Dave Edmunds,8,27.5
Kitchen Dwellers,12,27.5
Ed Sheeran,13,27.4
ZONE,10,27.4
He Is Legend,7,27.4
Cuco Sánchez,40,27.4
Michelle,20,27.4
Toini & The Tomcats,44,27.3
Nick Lowe,7,27.3
DA PUMP,7,27.3
Yosi Horikawa,8,27.3
Los Tres Caballeros,12,27.3
Rodrigo Mozart,7,27.3
"nothing,nowhere.",8,27.3
Groundation,10,27.3
The Gladiators,6,27.3
Gangrena Gasosa,7,27.3
Transmetal,16,27.3
Ben Lukas Boysen,7,27.3
Harley Poe,6,27.3
Los Apus,26,27.2
Leonardo Holmes,6,27.2
Randy Newman,58,27.2
Wilson Piravom,8,27.1
Alejandro Sanz,12,27.1
Demarco,7,27.1
Anıl Piyancı,6,27.0
Sujatha,89,27.0
Combichrist,7,27.0
Frontliner,6,27.0
Party Animals,10,27.0
Israel Vibration,6,27.0
Alfred Heinrichs;Haexxa,6,27.0
Andy Lau,21,27.0
Wood & Wire,8,27.0
Morbid Angel,6,27.0
Tsunami Bomb,7,26.9
The 20 Belows,15,26.9
Street Academics,7,26.9
Steve Petrunak,7,26.9
Dúo Ayacucho,8,26.9
Hans Zimmer;Adam Lukas;James Everingham,9,26.9
a-ha,22,26.8
FEEST DJ MAARTEN,8,26.8
Danakil,10,26.8
Michael Wendler,9,26.8
Anna-Maria Zimmermann,6,26.8
Andrew Foy,12,26.8
Dwarves,6,26.7
Wolfgang Petry,16,26.7
Jorge Ben Jor,9,26.7
MAX,7,26.7
Carajo,65,26.7
The Other People Place,7,26.7
The Wood Brothers,21,26.7
Los Vaguens,10,26.6
Brian Crain,20,26.6
Chiodos,7,26.6
VNV Nation,34,26.6
Indochine,26,26.6
Fred V & Grafix,7,26.6
Andrea Bocelli,39,26.6
Fritz Kalkbrenner,11,26.5
詹雅雯,8,26.5
C.O.F.F.I.N,8,26.5
Julia Michaels,8,26.5
Grasshopper,6,26.5
Jinny Ng,6,26.5
Cesária Evora,14,26.4
Il Divo,18,26.4
King 810,9,26.4
K. G. Markose,13,26.4
Almafuerte,93,26.4
The Spits,7,26.4
Burgerkill,28,26.4
Urszula,6,26.3
Waterparks,12,26.3
Off With Their Heads,18,26.3
Josh Groban,25,26.3
Stick To Your Guns,7,26.3
Surra,16,26.3
"""Weird Al"" Yankovic",15,26.3
La Roux,6,26.3
frek!,6,26.2
Malon,38,26.2
Mark With a K,10,26.2
João Gilberto,17,26.2
The Grogans,9,26.2
Kyle Kinane,33,26.2
Codename Chinadoll,7,26.1
All Time Low,15,26.1
Riff,35,26.1
Hans Zimmer;Gavin Greenaway;The Lyndhurst Orchestra,7,26.1
At The Gates,7,26.1
Bodysnatcher,7,26.1
David Guetta;Bebe Rexha,7,26.1
Bassnectar,14,26.1
Town Mountain,11,26.1
BiSH,18,26.1
Sarah Brightman,8,26.0
The Falcon,6,26.0
Carlos Di Fulvio,6,26.0
Felipe Vilela,7,26.0
Petrus,6,26.0
Satyricon,7,26.0
Mansfield.TYA,7,25.9
Leftover Salmon,7,25.9
Greensky Bluegrass,55,25.9
Los Enanitos Verdes,13,25.9
Papa Dance,6,25.8
Mindi Dickstein;Jason Howland;'Little Women' Original Broadway Cast,13,25.8
Every Time I Die,12,25.8
William Luna,25,25.8
Dinosaur Jr.,17,25.8
Mushroomhead,19,25.8
Parham,11,25.8
Bert Kreischer,6,25.8
The Lil Smokies,10,25.8
Little Symphony,58,25.8
Squeeze,21,25.7
Orgy,7,25.7
Barry White,9,25.7
D.F.C.,7,25.7
Jorge Drexler,52,25.7
Jaska Mäkynen,9,25.6
The Reverend Horton Heat,7,25.6
Gersson Edinbaro,28,25.6
V8,16,25.6
Wildstylez,9,25.6
Dúo Hnos. Gaitán Castro,11,25.6
Sean Paul;Dua Lipa,9,25.6
End It,7,25.6
The Orb,7,25.6
Static-X,17,25.6
Jimmy Eat World,30,25.6
Eva Eastwood,6,25.5
Vision Video,6,25.5
Kanine,11,25.5
Grace Jones,6,25.5
DeadSquad,18,25.5
creamy;untrusted;11:11 Music Group,8,25.5
The Del McCoury Band,6,25.5
Mc_team,12,25.4
The Baseballs,22,25.4
The Queers,7,25.4
Heaven Shall Burn,7,25.4
Linn da Quebrada,20,25.4
Timo Maas,7,25.4
Vanna,7,25.3
Seiko Matsuda,78,25.3
Pop Will Eat Itself,7,25.3
Rata Blanca,59,25.3
Los Antiguos,18,25.3
Anime,6,25.3
Together Pangea,7,25.3
Shannon & The Clams,24,25.3
The Bar-Kays,6,25.3
Noxa,6,25.3
Katt Williams,9,25.3
Alison Krauss & Union Station,34,25.3
Bathory,7,25.3
[Alexandros],6,25.3
Ikebe Shakedown,12,25.3
The Budos Band,15,25.3
Los Amigos Invisibles,49,25.3
meadowzz,11,25.2
Jobii,49,25.2
KMFDM,14,25.2
Brennan Heart,12,25.2
Timo Räisänen,6,25.2
Hans Zimmer;Matt Dunkley;John Altman,6,25.2
Ron White,10,25.2
Blind Melon,9,25.2
Plastilina Mosh,38,25.2
sonolon,7,25.1
Nogizaka46,86,25.1
Hästpojken,9,25.1
Disciples,7,25.1
Blue Highway,8,25.1
Dillinger Four,6,25.0
The Lemonheads,35,25.0
Fejo,21,25.0
Centhron,7,25.0
Ricardo Iorio,31,25.0
Noisecontrollers,8,25.0
Terra ,8,25.0
Alan Menken;Disney,21,25.0
Tokyo Disneyland,8,25.0
Revenge The Fate,11,25.0
Rotting Christ,19,25.0
Kite,14,24.9
Serkan Kaya,14,24.9
Szeukers,8,24.9
Kristen Anderson-Lopez;Robert Lopez,12,24.9
Dopplereffekt,12,24.9
Étienne Daho,9,24.8
Nana Mouskouri,8,24.8
The Birthday Massacre,9,24.8
Pappo,13,24.8
Honky Tonk Hustlas,8,24.8
Broder Daniel,6,24.8
Chad Daniels,13,24.8
Brian Regan,14,24.8
Kevin Bloody Wilson,25,24.8
Alan Tam,16,24.8
Apollo 440,18,24.8
Balsam Range,20,24.8
Reiki Armonía,15,24.7
May of Sorrow,6,24.7
夜光性アミューズ,14,24.7
Sevendust,29,24.7
Dj Gizmo,6,24.7
36 Crazyfists,6,24.7
Roffe Ruff,24,24.7
Steget,6,24.7
Kraff Gad,15,24.7
Stephen Lynch,22,24.7
Ekin Cheng,15,24.7
The Infamous Stringdusters,27,24.7
Jubiläumscast Wien 2012,33,24.6
Stam1na,56,24.6
Screeching Weasel,19,24.6
Lawineboys,20,24.6
Slowgold,13,24.6
Everything But The Girl,35,24.6
Vipa Music;Kenyaman,9,24.6
